Title,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier
101 CCW Observed Runtime-80%,2,2.02,2.27,2.02,2.18,2.17,2.02,2.52,2.2,2.3,1.88,2.07,1.95,2.07,2.03,2.18,2.35,2.22,2.05,1.9,2.1,1.97,1.9,1.88,2.23,2.23,2.1,2.62,2.2,1.93
101 CCW Observed Runtime-90%,2.18,2.23,2.55,2.07,2.45,2.27,2.03,2.62,2.2,2.48,2.18,2.22,2.27,2.13,2.03,2.83,3.55,2.33,2.25,1.93,2.32,3.28,2,1.95,2.63,2.23,2.2,2.62,2.42,1.98
101 CCW Scheduled Runtime-10%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101 CCW Scheduled Runtime-50%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101 CCW Scheduled Runtime-90%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Title,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall,Georgian College to Georgian Mall
Half-Hour,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29,18:30 - 18:59,19:00 - 19:29,19:30 - 19:59,20:00 - 20:29,20:30 - 20:59,21:00 - 21:29,22:00 - 22:29
101 CCW Observed Runtime-25%,9.83,11.42,11.23,10.24,10.46,10.61,9.71,10.39,10.74,11.11,10.94,11.1,11.81,11.41,11.76,11.7,11.13,10.55,11.37,10.42,10.49,9.69,10.02,10.57,11.17,11.07,10.35,9.67,9.16,9.84
101 CCW Observed Runtime-50%,10.37,11.56,11.29,11.21,11.01,11.37,10.15,10.95,11.33,12.04,11.43,11.79,12.72,11.95,12.38,12.07,12.13,12.45,12.25,11.91,10.87,11.23,11.18,11.39,12.04,11.47,10.59,10.8,9.88,10.05
101 CCW Observed Runtime-80%,11.77,12.23,12.32,11.66,12.35,11.63,10.68,12.37,13.39,13.52,12.75,12.5,14,13.46,12.66,12.77,13.41,14.41,13.49,13.39,11.73,12.76,11.37,12.22,12.88,13.4,11.96,11.76,10.42,10.88
